player,nationality,position,team,comp_level,age,birth_year,minutes_90s,cards_yellow,cards_red,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Pablo Pagis,FRA,MF,Lorient,Ligue 1,20,2002,1.8,1,0,0,4,4,0,2,3,6,0.0,0.0,0,6.0,2.0,2.0,50.0
Exequiel Palacios,ARG,MF,Leverkusen,Bundesliga,24,1998,20.3,6,0,0,16,55,0,6,29,34,0.0,0.0,0,163.0,8.0,8.0,50.0
Isaac Palazón Camacho,ESP,"MF,FW",Rayo Vallecano,La Liga,28,1994,31.0,8,0,0,32,76,10,131,16,25,0.0,0.0,0,156.0,40.0,69.0,36.7
João Palhinha,POR,MF,Fulham,Premier League,28,1995,30.0,13,0,0,52,56,2,5,46,75,0.0,1.0,0,195.0,40.0,31.0,56.3
Nicolas Pallois,FRA,DF,Nantes,Ligue 1,35,1987,17.7,5,0,0,20,8,1,13,26,19,0.0,1.0,0,88.0,30.0,18.0,62.5
Cole Palmer,ENG,"FW,MF",Chelsea,Premier League,21,2002,29.0,7,0,0,23,26,6,81,20,12,1.0,0.0,0,105.0,1.0,4.0,20.0
Cole Palmer,ENG,MF,Manchester City,Premier League,21,2002,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Emerson Palmieri,ITA,DF,West Ham,Premier League,28,1994,34.9,10,0,0,32,33,1,49,43,68,2.0,1.0,1,142.0,25.0,23.0,52.1
Joaquín Panichelli,ARG,"FW,MF",Alavés,La Liga,20,2002,2.5,0,0,0,8,4,1,0,1,3,0.0,0.0,0,10.0,17.0,5.0,77.3
Miloš Pantović,SRB,MF,Union Berlin,Bundesliga,27,1996,0.2,0,0,0,0,2,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0
Antonios Papadopoulos,GER,DF,Dortmund,Bundesliga,23,1999,1.3,0,0,0,1,1,0,0,2,3,0.0,0.0,0,7.0,5.0,4.0,55.6
Christos Papadopoulos,GRE,FW,Genoa,Serie A,18,2004,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Sokratis Papastathopoulos,GRE,DF,Betis,La Liga,35,1988,12.6,6,0,0,13,6,0,0,6,14,0.0,0.0,1,51.0,25.0,18.0,58.1
Matondo-Merveille Papela,GER,"MF,DF",Mainz 05,Bundesliga,22,2001,2.9,1,0,0,6,1,0,2,4,4,0.0,0.0,0,16.0,4.0,7.0,36.4
Leart Paqarada,KVX,DF,Köln,Bundesliga,28,1994,11.9,0,0,0,7,8,1,92,10,11,0.0,0.0,0,56.0,9.0,21.0,30.0
Lucas Paquetá,BRA,"FW,MF",West Ham,Premier League,25,1997,29.1,10,0,0,47,66,5,35,21,48,0.0,0.0,0,194.0,59.0,59.0,50.0
Victor Parada,ESP,"FW,MF",Alavés,La Liga,21,2002,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Aitor Paredes,ESP,DF,Athletic Club,La Liga,23,2000,30.0,9,1,1,37,11,0,1,33,11,0.0,0.0,0,137.0,60.0,37.0,61.9
Kevin Paredes,USA,"FW,MF",Wolfsburg,Bundesliga,20,2003,15.9,4,0,0,11,53,5,33,23,21,1.0,0.0,0,62.0,10.0,14.0,41.7
Leandro Paredes,ARG,MF,Roma,Serie A,29,1994,29.3,15,1,0,31,35,0,82,29,36,0.0,1.0,0,184.0,14.0,3.0,82.4
Daniel Parejo,ESP,MF,Villarreal,La Liga,34,1989,28.7,4,0,0,18,51,0,57,21,30,0.0,0.0,0,173.0,24.0,10.0,70.6
Fabiano Parisi,ITA,DF,Fiorentina,Serie A,22,2000,16.2,4,0,0,14,38,0,42,17,15,0.0,3.0,0,124.0,24.0,20.0,54.5
Ben Parkinson,ENG,FW,Newcastle Utd,Premier League,18,2005,0.3,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0.0,0.0,2.0,0.0
Thomas Partey,GHA,"MF,DF",Arsenal,Premier League,30,1993,8.8,3,0,0,10,6,0,2,11,11,0.0,0.0,0,56.0,7.0,8.0,46.7
Mario Pašalić,CRO,MF,Atalanta,Serie A,28,1995,22.8,3,0,0,20,7,6,10,16,17,0.0,0.0,0,124.0,36.0,31.0,53.7
Triantafyllos Pasaridīs,GRE,DF,Salernitana,Serie A,27,1996,5.0,3,0,0,9,3,0,0,3,7,0.0,0.0,0,12.0,7.0,13.0,35.0
Pascu,ESP,FW,Villarreal,La Liga,20,2003,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0
