player,nationality,position,team,comp_level,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,Premier League,26,1996,10.4,19.0,1.82,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27,1996,37.9,47.0,1.24,41.0,1.0,0.0,3.0,0.0,2.0,5.0,0.13,5.0,0.0,0.0,0.0,0.0,0.0
Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,34.0,2.98,28.0,0.0,4.0,2.0,0.0,0.0,3.0,0.26,3.0,0.0,0.0,0.0,0.0,0.0
Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,92.0,2.99,76.0,2.0,4.0,5.0,2.0,3.0,12.0,0.39,10.0,0.0,1.0,0.0,0.0,1.0
Benjamin André,FRA,MF,Lille,Ligue 1,32,1990,28.6,49.0,1.72,41.0,1.0,0.0,0.0,5.0,2.0,3.0,0.11,1.0,0.0,0.0,0.0,2.0,0.0
Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,6.0,3.2,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,28,1994,18.8,54.0,2.88,47.0,0.0,0.0,4.0,2.0,1.0,6.0,0.32,6.0,0.0,0.0,0.0,0.0,0.0
Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25,1998,17.3,6.0,0.35,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Angeliño,ESP,DF,Roma,Serie A,26,1997,12.7,33.0,2.6,30.0,2.0,0.0,1.0,0.0,0.0,3.0,0.24,3.0,0.0,0.0,0.0,0.0,0.0
Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,1994,1.8,9.0,4.91,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaidon Anthony,ENG,FW,Bournemouth,Premier League,23,1999,1.7,3.0,1.78,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,27,1996,32.1,39.0,1.22,33.0,0.0,0.0,4.0,1.0,1.0,9.0,0.28,8.0,0.0,0.0,1.0,0.0,0.0
Michail Antonio,JAM,FW,West Ham,Premier League,33,1990,18.8,33.0,1.75,18.0,1.0,5.0,3.0,4.0,2.0,5.0,0.27,4.0,0.0,1.0,0.0,0.0,0.0
Antony,BRA,FW,Manchester Utd,Premier League,23,2000,14.7,55.0,3.74,45.0,1.0,2.0,0.0,4.0,3.0,3.0,0.2,1.0,0.0,0.0,0.0,0.0,2.0
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,48.0,3.55,31.0,9.0,2.0,3.0,3.0,0.0,4.0,0.3,4.0,0.0,0.0,0.0,0.0,0.0
Houssem Aouar,ALG,"MF,FW",Roma,Serie A,25,1998,8.4,21.0,2.5,12.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stredair Appuah,FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,2.0,2.14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauro Arambarri,URU,MF,Getafe,La Liga,27,1995,3.8,9.0,2.39,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21,2002,6.0,4.0,0.66,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asaf Arania,ISR,MF,Darmstadt 98,Bundesliga,17,2005,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Araujo,MEX,DF,Las Palmas,La Liga,21,2001,16.2,31.0,1.91,25.0,2.0,2.0,0.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Ronald Araújo,URU,DF,Barcelona,La Liga,24,1999,22.2,22.0,0.99,14.0,0.0,1.0,7.0,0.0,0.0,4.0,0.18,1.0,0.0,0.0,3.0,0.0,0.0
Oliver Arblaster,ENG,MF,Sheffield Utd,Premier League,19,2004,10.5,23.0,2.2,19.0,2.0,0.0,1.0,0.0,1.0,2.0,0.19,1.0,0.0,0.0,1.0,0.0,0.0
Cameron Archer,ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,49.0,2.41,32.0,0.0,9.0,5.0,1.0,2.0,4.0,0.2,2.0,0.0,1.0,1.0,0.0,0.0
Cameron Archer,ENG,MF,Aston Villa,Premier League,22,2001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,30.0,2.0,0.07,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
